Blue,Green,Red,Nir,Class
13,9,9,10,0
11,9,7,21,0
12,10,9,15,0
12,8,6,5,0
10,7,7,15,0
14,11,11,13,0
10,7,5,11,0
10,7,5,10,0
14,12,11,15,0
10,8,6,13,0
12,8,6,7,0
24,17,16,26,0
10,6,4,4,0
10,7,6,13,0
14,11,11,11,0
12,10,9,23,0
12,10,9,15,0
10,6,5,10,0
16,14,15,21,0
20,21,23,27,0
12,9,8,15,0
18,12,11,17,0
14,11,11,13,0
9,6,4,12,0
15,14,15,25,0
10,7,6,10,0
12,9,9,10,0
11,8,7,15,0
12,9,7,12,0
11,8,7,6,0
12,10,9,19,0
12,10,5,2,0
12,9,5,2,0
10,7,5,6,0
12,9,8,8,0
14,11,10,11,0
11,8,7,12,0
13,10,11,15,0
11,8,6,6,0
13,10,9,10,0
15,14,16,20,0
10,7,5,14,0
12,8,7,16,0
15,15,14,19,0
10,8,6,15,0
11,8,6,10,0
11,7,7,11,0
17,15,15,20,0
13,11,10,11,0
16,12,13,14,0
10,7,7,14,0
14,11,9,10,0
16,15,14,17,0
11,8,6,14,0
9,7,5,14,0
11,8,6,4,0
17,16,14,12,0
10,8,6,19,0
13,10,8,10,0
11,7,6,14,0
11,7,6,6,0
12,8,6,9,0
10,8,6,17,0
15,13,13,22,0
13,10,9,10,0
11,7,4,3,0
13,10,9,10,0
12,9,7,8,0
11,8,7,15,0
13,9,9,11,0
17,16,16,18,0
13,11,10,19,0
13,10,9,12,0
12,9,7,10,0
10,8,6,17,0
13,10,10,16,0
13,10,9,11,0
10,7,5,5,0
11,8,6,17,0
24,18,16,18,0
13,9,8,10,0
14,13,13,14,0
11,9,8,20,0
11,8,6,13,0
16,12,12,14,0
18,15,14,14,0
11,8,7,15,0
11,8,6,13,0
11,8,8,12,0
9,6,5,7,0
10,7,6,17,0
10,6,4,5,0
12,9,5,2,0
11,9,6,7,0
12,10,5,2,0
13,11,9,12,0
13,11,10,15,0
14,12,11,13,0
11,8,6,15,0
11,8,6,15,0
13,10,9,11,0
10,7,5,16,0
10,7,5,9,0
12,10,5,2,0
12,9,9,9,0
11,8,6,13,0
20,18,18,23,0
17,15,16,17,0
18,16,16,18,0
12,8,7,6,0
14,12,11,14,0
11,8,7,7,0
14,11,10,15,0
11,8,7,14,0
13,10,9,9,0
13,11,11,14,0
13,11,12,15,0
10,7,5,6,0
10,7,5,19,0
11,7,5,4,0
11,8,6,14,0
12,10,9,9,0
11,8,7,14,0
12,8,7,6,0
18,14,15,20,0
14,12,12,16,0
9,6,4,7,0
19,19,22,25,0
13,10,9,12,0
10,8,7,12,0
11,9,5,2,0
12,9,8,11,0
12,9,5,2,0
11,9,6,24,0
10,7,6,12,0
17,16,17,21,0
14,12,12,12,0
12,9,8,18,0
10,7,5,9,0
9,7,5,14,0
11,8,7,13,0
12,8,7,7,0
12,10,6,2,0
10,7,4,9,0
11,8,7,16,0
12,10,9,13,0
14,12,11,10,0
11,8,7,16,0
10,7,5,8,0
10,7,6,12,0
17,13,11,14,1
15,12,9,33,1
16,14,12,29,1
23,17,16,24,1
12,8,6,25,1
19,16,16,21,1
11,8,3,28,1
13,10,5,29,1
20,16,16,23,1
13,9,5,32,1
18,14,12,17,1
33,22,21,35,1
10,6,3,12,1
13,10,6,32,1
19,16,16,19,1
14,13,8,42,1
15,12,10,26,1
11,9,4,30,1
21,20,20,32,1
26,24,26,30,1
16,12,10,23,1
24,14,12,26,1
17,14,14,19,1
11,7,3,22,1
18,16,17,39,1
10,8,2,25,1
15,12,12,18,1
12,10,6,27,1
14,12,8,17,1
17,12,10,12,1
15,13,8,36,1
16,13,6,0,1
16,13,7,1,1
14,10,6,25,1
17,12,11,15,1
20,15,14,17,1
13,10,7,23,1
18,14,14,23,1
14,10,5,10,1
16,13,12,15,1
20,19,22,39,1
13,9,5,24,1
16,11,9,24,1
23,19,19,30,1
14,10,6,27,1
13,9,6,20,1
14,10,9,22,1
22,19,22,33,1
18,13,12,14,1
21,18,18,21,1
12,11,6,33,1
20,17,16,19,1
22,20,22,26,1
14,10,6,20,1
11,8,4,24,1
16,10,7,5,1
31,31,34,36,1
13,10,6,33,1
16,13,11,16,1
12,9,4,31,1
16,11,9,15,1
15,11,8,18,1
12,9,4,29,1
19,17,16,35,1
17,13,12,16,1
18,13,12,16,1
18,13,12,14,1
19,13,12,17,1
14,10,7,25,1
17,12,10,16,1
26,24,26,31,1
16,13,11,29,1
18,15,16,29,1
15,11,8,14,1
12,9,4,27,1
18,15,14,27,1
17,14,10,17,1
14,11,8,15,1
14,11,8,30,1
30,24,21,23,1
18,15,13,19,1
19,18,17,24,1
14,11,9,31,1
15,10,8,17,1
22,17,17,22,1
21,15,15,12,1
13,12,7,37,1
12,10,3,33,1
14,12,8,26,1
11,7,4,18,1
11,9,4,31,1
10,6,3,14,1
16,12,7,2,1
16,12,10,13,1
16,13,7,0,1
18,16,15,21,1
17,13,13,22,1
20,16,16,23,1
15,11,7,26,1
11,9,4,33,1
17,13,13,21,1
11,8,4,29,1
10,6,3,17,1
17,14,8,1,1
16,13,13,22,1
13,9,6,24,1
32,27,26,37,1
21,18,19,23,1
23,23,23,31,1
18,13,11,12,1
20,19,20,26,1
17,12,10,13,1
18,14,13,24,1
16,13,10,26,1
18,16,11,16,1
18,15,15,24,1
18,15,16,24,1
13,8,6,15,1
13,10,5,31,1
14,9,5,4,1
14,11,6,29,1
18,15,15,17,1
14,11,6,30,1
15,10,7,7,1
23,18,17,30,1
18,17,18,29,1
11,9,5,24,1
23,21,22,24,1
16,13,10,18,1
12,11,5,33,1
15,12,6,1,1
15,11,9,17,1
16,12,6,1,1
14,11,6,41,1
12,9,4,30,1
22,21,22,32,1
28,26,30,34,1
15,12,10,34,1
12,8,4,21,1
12,10,4,38,1
12,11,3,40,1
16,11,10,12,1
15,11,6,1,1
11,8,4,20,1
13,10,6,26,1
16,13,11,21,1
20,16,15,15,1
12,9,5,30,1
11,7,3,20,1
11,8,3,26,1
19,15,12,23,2
18,15,10,47,2
28,31,37,47,2
21,15,15,15,2
14,10,5,49,2
22,16,17,26,2
14,10,5,41,2
15,11,5,38,2
26,22,20,29,2
15,11,6,37,2
23,16,15,18,2
50,33,33,51,2
13,8,3,16,2
15,12,5,44,2
24,21,21,26,2
16,13,8,44,2
18,15,9,41,2
14,9,4,33,2
21,17,14,25,2
35,33,38,47,2
17,14,8,46,2
34,24,23,34,2
22,16,13,38,2
14,9,4,27,2
19,17,13,49,2
13,8,3,26,2
19,15,14,17,2
16,12,8,40,2
15,12,5,35,2
21,16,13,15,2
22,19,17,48,2
19,17,9,3,2
19,17,9,4,2
16,10,7,11,2
22,19,16,18,2
23,18,16,21,2
15,11,6,41,2
20,15,14,28,2
16,12,6,38,2
24,19,17,25,2
24,25,25,55,2
16,12,6,40,2
16,12,6,44,2
22,19,17,42,2
16,12,6,36,2
17,12,7,29,2
18,15,16,25,2
31,29,29,44,2
24,19,19,17,2
21,17,14,22,2
15,11,5,38,2
28,23,21,25,2
27,23,22,26,2
17,15,9,36,2
14,10,5,45,2
17,10,5,4,2
25,20,21,21,2
15,12,5,35,2
17,12,8,19,2
14,10,4,42,2
22,15,14,18,2
24,18,15,27,2
15,10,5,37,2
26,24,21,43,2
23,19,17,22,2
18,10,6,4,2
24,19,17,24,2
21,15,13,16,2
16,13,6,52,2
22,16,15,23,2
26,24,21,30,2
20,18,15,47,2
17,12,10,30,2
16,11,7,15,2
15,11,5,40,2
16,13,7,23,2
20,17,14,32,2
16,11,7,13,2
17,14,8,46,2
116,136,109,135,2
19,14,11,16,2
24,21,18,30,2
16,12,7,44,2
17,14,9,34,2
21,16,13,18,2
36,34,33,32,2
15,11,6,43,2
14,10,4,42,2
19,15,17,29,2
14,9,4,27,2
15,11,5,44,2
13,7,3,22,2
18,16,9,4,2
18,14,10,13,2
20,17,9,4,2
18,13,8,25,2
23,20,18,44,2
21,16,12,27,2
18,15,9,44,2
15,11,5,40,2
23,19,17,23,2
15,11,5,43,2
13,8,3,29,2
19,17,9,3,2
17,13,9,21,2
15,12,5,53,2
26,22,22,25,2
28,25,26,34,2
27,24,22,35,2
22,16,15,14,2
22,18,17,21,2
23,20,17,22,2
19,15,12,21,2
18,14,9,25,2
20,16,13,16,2
22,19,19,29,2
25,21,26,37,2
16,10,7,10,2
16,11,6,43,2
16,9,5,4,2
15,11,5,47,2
21,18,16,18,2
16,12,6,60,2
26,20,23,25,2
19,16,11,38,2
27,25,24,41,2
13,9,4,26,2
54,59,65,68,2
17,13,8,28,2
15,10,5,36,2
19,16,10,4,2
17,13,7,40,2
20,17,10,5,2
17,13,7,45,2
14,10,4,48,2
33,31,32,36,2
21,16,15,16,2
16,13,7,46,2
15,10,5,33,2
15,10,4,48,2
14,11,5,47,2
33,27,29,30,2
20,17,11,5,2
15,10,5,38,2
16,11,6,32,2
17,13,7,42,2
27,24,23,24,2
15,12,5,49,2
14,9,4,27,2
14,10,4,37,2
20,15,13,15,3
19,15,13,34,3
21,19,21,28,3
20,14,11,9,3
18,14,13,29,3
23,19,19,23,3
18,13,11,19,3
18,13,10,16,3
22,18,17,26,3
18,13,11,20,3
19,14,11,11,3
35,25,24,36,3
16,10,7,6,3
19,14,11,20,3
21,16,13,13,3
20,16,14,28,3
19,15,13,23,3
17,12,9,15,3
24,21,22,27,3
26,24,26,29,3
19,15,13,28,3
24,17,15,24,3
21,17,16,21,3
17,12,9,18,3
23,22,23,40,3
17,12,10,15,3
19,15,13,15,3
19,14,13,24,3
19,14,13,20,3
20,14,12,11,3
21,17,16,29,3
19,15,10,5,3
20,16,10,5,3
18,12,10,10,3
23,19,16,19,3
23,18,16,18,3
19,14,13,19,3
23,18,17,23,3
19,13,10,9,3
22,16,15,19,3
24,21,24,33,3
17,13,10,20,3
21,16,16,25,3
24,21,19,27,3
18,14,10,21,3
18,14,12,14,3
20,15,15,19,3
21,17,16,17,3
20,15,14,15,3
23,18,17,18,3
18,14,13,24,3
22,17,15,17,3
23,20,20,22,3
19,14,11,23,3
18,13,10,27,3
