; Number of ROIs: 5
; File Dimension: 772 x 653
;
; ROI name: veg1
; ROI rgb value: {0, 255, 0}
; ROI npts: 1000
;
; ROI name: shadow1
; ROI rgb value: {109, 109, 109}
; ROI npts: 1000
;
; ROI name: water1
; ROI rgb value: {0, 255, 255}
; ROI npts: 1000
;
; ROI name: road1
; ROI rgb value: {255, 0, 0}
; ROI npts: 1000
;
; ROI name: building1
; ROI rgb value: {0, 0, 255}
; ROI npts: 1000
;
; File X, File Y, Lat, Lon, B1, B2, B3, B4
;
 308,    2,  32.09563729,  118.80039969,  0.110600,  0.089500,  0.074700,  0.140500
 309,    2,  32.09563729,  118.80048953,  0.109800,  0.089600,  0.074700,  0.142000
 310,    2,  32.09563729,  118.80057936,  0.109300,  0.087900,  0.069600,  0.154300
 311,    2,  32.09563729,  118.80066919,  0.112800,  0.088800,  0.070300,  0.158000
 307,    2,  32.09563729,  118.80030986,  0.111200,  0.091100,  0.071000,  0.152200
 311,    3,  32.09554746,  118.80066919,  0.111300,  0.087200,  0.069300,  0.129100
 310,    3,  32.09554746,  118.80057936,  0.109800,  0.088600,  0.068300,  0.133500
 309,    3,  32.09554746,  118.80048953,  0.111200,  0.092700,  0.073100,  0.151900
 308,    3,  32.09554746,  118.80039969,  0.112700,  0.092200,  0.073700,  0.153200
 307,    3,  32.09554746,  118.80030986,  0.112100,  0.089400,  0.071700,  0.151300
 308,    4,  32.09545763,  118.80039969,  0.114100,  0.090800,  0.076800,  0.155200
 309,    4,  32.09545763,  118.80048953,  0.113400,  0.093500,  0.073800,  0.148900
 310,    4,  32.09545763,  118.80057936,  0.109900,  0.083700,  0.069000,  0.126400
 311,    4,  32.09545763,  118.80066919,  0.109900,  0.086600,  0.069000,  0.139000
 307,    4,  32.09545763,  118.80030986,  0.112100,  0.089400,  0.071700,  0.151300
 309,    5,  32.09536780,  118.80048953,  0.112000,  0.093000,  0.071800,  0.148300
 311,    5,  32.09536780,  118.80066919,  0.110900,  0.088300,  0.069500,  0.150900
 310,    5,  32.09536780,  118.80057936,  0.110200,  0.086200,  0.066500,  0.146900
 690,    5,  32.09536780,  118.83471534,  0.111200,  0.088200,  0.068800,  0.150700
 308,    5,  32.09536780,  118.80039969,  0.113400,  0.092000,  0.077500,  0.166000
 307,    5,  32.09536780,  118.80030986,  0.113200,  0.090600,  0.071500,  0.160700
 686,    5,  32.09536780,  118.83435601,  0.114000,  0.094500,  0.084600,  0.152800
 687,    5,  32.09536780,  118.83444584,  0.109400,  0.089000,  0.074300,  0.143800
 688,    5,  32.09536780,  118.83453568,  0.109400,  0.089000,  0.074300,  0.143800
 689,    5,  32.09536780,  118.83462551,  0.108900,  0.087400,  0.069000,  0.139700
 309,    6,  32.09527797,  118.80048953,  0.114800,  0.094600,  0.082000,  0.154600
 308,    6,  32.09527797,  118.80039969,  0.113900,  0.092000,  0.075800,  0.152400
 310,    6,  32.09527797,  118.80057936,  0.111900,  0.088700,  0.074600,  0.154100
 311,    6,  32.09527797,  118.80066919,  0.112300,  0.088300,  0.072600,  0.153000
 690,    6,  32.09527797,  118.83471534,  0.110100,  0.087600,  0.072500,  0.148600
 689,    6,  32.09527797,  118.83462551,  0.109600,  0.089200,  0.072400,  0.135700
 686,    6,  32.09527797,  118.83435601,  0.110800,  0.087700,  0.076200,  0.124400
 687,    6,  32.09527797,  118.83444584,  0.111100,  0.086500,  0.072200,  0.128600
 688,    6,  32.09527797,  118.83453568,  0.111100,  0.086500,  0.072200,  0.128600
 307,    6,  32.09527797,  118.80030986,  0.112100,  0.088900,  0.070900,  0.157900
 749,    7,  32.09518813,  118.84001540,  0.110800,  0.094500,  0.070800,  0.210100
 750,    7,  32.09518813,  118.84010523,  0.110200,  0.095100,  0.075300,  0.210600
 751,    7,  32.09518813,  118.84019506,  0.111200,  0.097800,  0.079000,  0.230900
 752,    7,  32.09518813,  118.84028489,  0.111200,  0.095700,  0.078600,  0.228700
 690,    7,  32.09518813,  118.83471534,  0.111500,  0.089700,  0.073300,  0.166200
 689,    7,  32.09518813,  118.83462551,  0.110000,  0.088200,  0.072300,  0.142600
 688,    7,  32.09518813,  118.83453568,  0.111800,  0.087800,  0.072700,  0.128200
 687,    7,  32.09518813,  118.83444584,  0.111800,  0.087800,  0.072700,  0.128200
 748,    7,  32.09518813,  118.83992557,  0.111100,  0.093500,  0.073000,  0.199600
 686,    7,  32.09518813,  118.83435601,  0.112800,  0.088000,  0.074300,  0.129200
 750,    8,  32.09509830,  118.84010523,  0.111100,  0.096000,  0.077200,  0.207900
 748,    8,  32.09509830,  118.83992557,  0.111300,  0.092900,  0.070700,  0.205200
 749,    8,  32.09509830,  118.84001540,  0.110700,  0.094600,  0.071000,  0.208400
 752,    8,  32.09509830,  118.84028489,  0.109300,  0.091300,  0.067600,  0.224800
 751,    8,  32.09509830,  118.84019506,  0.111800,  0.096200,  0.075100,  0.228200
 689,    8,  32.09509830,  118.83462551,  0.111900,  0.089300,  0.072100,  0.150300
 688,    8,  32.09509830,  118.83453568,  0.109600,  0.088200,  0.071400,  0.133200
 687,    8,  32.09509830,  118.83444584,  0.109600,  0.088200,  0.071400,  0.133200
 686,    8,  32.09509830,  118.83435601,  0.112700,  0.088300,  0.075000,  0.129100
 690,    8,  32.09509830,  118.83471534,  0.111100,  0.091500,  0.074900,  0.161400
 686,    9,  32.09500847,  118.83435601,  0.107500,  0.087600,  0.072100,  0.137300
 690,    9,  32.09500847,  118.83471534,  0.111200,  0.091800,  0.076900,  0.153300
 687,    9,  32.09500847,  118.83444584,  0.107800,  0.087300,  0.068500,  0.154100
 752,    9,  32.09500847,  118.84028489,  0.108500,  0.089600,  0.068000,  0.181800
 751,    9,  32.09500847,  118.84019506,  0.112400,  0.095600,  0.076500,  0.215300
 750,    9,  32.09500847,  118.84010523,  0.113700,  0.096500,  0.079300,  0.203100
 749,    9,  32.09500847,  118.84001540,  0.111600,  0.094700,  0.076100,  0.201600
 748,    9,  32.09500847,  118.83992557,  0.111600,  0.093200,  0.075300,  0.197500
 688,    9,  32.09500847,  118.83453568,  0.112800,  0.090300,  0.072700,  0.158200
 689,    9,  32.09500847,  118.83462551,  0.112800,  0.090300,  0.072700,  0.158200
 750,   10,  32.09491864,  118.84010523,  0.114200,  0.098200,  0.080700,  0.195200
 749,   10,  32.09491864,  118.84001540,  0.113100,  0.095500,  0.079200,  0.191200
 748,   10,  32.09491864,  118.83992557,  0.111800,  0.093600,  0.078500,  0.190800
 751,   10,  32.09491864,  118.84019506,  0.110800,  0.094900,  0.073200,  0.210700
 752,   10,  32.09491864,  118.84028489,  0.107800,  0.088700,  0.067500,  0.188800
 748,   11,  32.09482881,  118.83992557,  0.112000,  0.092800,  0.078000,  0.188600
 751,   11,  32.09482881,  118.84019506,  0.111100,  0.095300,  0.071000,  0.211500
 750,   11,  32.09482881,  118.84010523,  0.114400,  0.098200,  0.079100,  0.205100
 749,   11,  32.09482881,  118.84001540,  0.113100,  0.095300,  0.078400,  0.190400
 752,   11,  32.09482881,  118.84028489,  0.107900,  0.089400,  0.066800,  0.189900
 241,   18,  32.09419999,  118.79438098,  0.110200,  0.085900,  0.066000,  0.147500
 242,   18,  32.09419999,  118.79447081,  0.107700,  0.086400,  0.065200,  0.157500
 243,   18,  32.09419999,  118.79456064,  0.107700,  0.086400,  0.065200,  0.157500
 240,   18,  32.09419999,  118.79429115,  0.110500,  0.087300,  0.066600,  0.129900
 239,   18,  32.09419999,  118.79420132,  0.110000,  0.087600,  0.065000,  0.137900
 241,   19,  32.09411016,  118.79438098,  0.110200,  0.086600,  0.068300,  0.143200
 240,   19,  32.09411016,  118.79429115,  0.111100,  0.088100,  0.068600,  0.135200
 239,   19,  32.09411016,  118.79420132,  0.110700,  0.089200,  0.067200,  0.144600
 243,   19,  32.09411016,  118.79456064,  0.109700,  0.087400,  0.068100,  0.156700
 242,   19,  32.09411016,  118.79447081,  0.109700,  0.087400,  0.068100,  0.156700
 241,   20,  32.09402032,  118.79438098,  0.111300,  0.088400,  0.071100,  0.158200
 239,   20,  32.09402032,  118.79420132,  0.113000,  0.090700,  0.068800,  0.158600
 243,   20,  32.09402032,  118.79456064,  0.110800,  0.089100,  0.069600,  0.162700
 240,   20,  32.09402032,  118.79429115,  0.111800,  0.089900,  0.070000,  0.153400
 242,   20,  32.09402032,  118.79447081,  0.110800,  0.089100,  0.069600,  0.162700
 240,   21,  32.09393049,  118.79429115,  0.110300,  0.090400,  0.070400,  0.150500
 242,   21,  32.09393049,  118.79447081,  0.113200,  0.090100,  0.073400,  0.158900
 241,   21,  32.09393049,  118.79438098,  0.113700,  0.089800,  0.072800,  0.156900
 239,   21,  32.09393049,  118.79420132,  0.112000,  0.091300,  0.071600,  0.152800
 243,   21,  32.09393049,  118.79456064,  0.113200,  0.090100,  0.073400,  0.158900
 242,   22,  32.09384066,  118.79447081,  0.111000,  0.086100,  0.071500,  0.124400
 239,   22,  32.09384066,  118.79420132,  0.111300,  0.090400,  0.068400,  0.140600
 243,   22,  32.09384066,  118.79456064,  0.111000,  0.086100,  0.071500,  0.124400
 241,   22,  32.09384066,  118.79438098,  0.114600,  0.090500,  0.072400,  0.144700
